Team 1,Team 2,Wins
Philadelphia 76ers,Memphis Grizzlies,0
Philadelphia 76ers,Miami Heat,2
Philadelphia 76ers,Milwaukee Bucks,2
Philadelphia 76ers,Minnesota Timberwolves,1
Philadelphia 76ers,New Orleans Pelicans,1
Philadelphia 76ers,New York Knicks,2
Philadelphia 76ers,Oklahoma City Thunder,0
Philadelphia 76ers,Orlando Magic,1
Philadelphia 76ers,Phoenix Suns,1
Philadelphia 76ers,Portland Trail Blazers,1
Philadelphia 76ers,Sacramento Kings,1
Philadelphia 76ers,San Antonio Spurs,0
Philadelphia 76ers,Toronto Raptors,1
Philadelphia 76ers,Utah Jazz,0
Philadelphia 76ers,Washington Wizards,2
Phoenix Suns,Atlanta Hawks,1
Phoenix Suns,Boston Celtics,1
Phoenix Suns,Brooklyn Nets,0
Phoenix Suns,Charlotte Hornets,1
Phoenix Suns,Chicago Bulls,1
Phoenix Suns,Cleveland Cavaliers,0
Phoenix Suns,Dallas Mavericks,3
Phoenix Suns,Denver Nuggets,0
Phoenix Suns,Detroit Pistons,1
Phoenix Suns,Golden State Warriors,0
Phoenix Suns,Houston Rockets,0
Phoenix Suns,Indiana Pacers,1
Phoenix Suns,Los Angeles Clippers,0
Phoenix Suns,Los Angeles Lakers,2
Phoenix Suns,Memphis Grizzlies,0
Phoenix Suns,Miami Heat,1
Phoenix Suns,Milwaukee Bucks,0
Phoenix Suns,Minnesota Timberwolves,0
Phoenix Suns,New Orleans Pelicans,1
Phoenix Suns,New York Knicks,2
Phoenix Suns,Oklahoma City Thunder,2
Phoenix Suns,Orlando Magic,1
Phoenix Suns,Philadelphia 76ers,1
Phoenix Suns,Portland Trail Blazers,1
Phoenix Suns,Sacramento Kings,1
Phoenix Suns,San Antonio Spurs,1
Phoenix Suns,Toronto Raptors,2
Phoenix Suns,Utah Jazz,0
Phoenix Suns,Washington Wizards,0
Portland Trail Blazers,Atlanta Hawks,1
Portland Trail Blazers,Boston Celtics,1
Portland Trail Blazers,Brooklyn Nets,2
Portland Trail Blazers,Charlotte Hornets,1
Portland Trail Blazers,Chicago Bulls,1
Portland Trail Blazers,Cleveland Cavaliers,1
Portland Trail Blazers,Dallas Mavericks,2
Portland Trail Blazers,Denver Nuggets,3
Portland Trail Blazers,Detroit Pistons,0
Portland Trail Blazers,Golden State Warriors,0
Portland Trail Blazers,Houston Rockets,1
Portland Trail Blazers,Indiana Pacers,1
Portland Trail Blazers,Los Angeles Clippers,0
Portland Trail Blazers,Los Angeles Lakers,4
Portland Trail Blazers,Memphis Grizzlies,2
Portland Trail Blazers,Miami Heat,2
Portland Trail Blazers,Milwaukee Bucks,0
Portland Trail Blazers,Minnesota Timberwolves,3
Portland Trail Blazers,New Orleans Pelicans,1
Portland Trail Blazers,New York Knicks,1
Portland Trail Blazers,Oklahoma City Thunder,3
Portland Trail Blazers,Orlando Magic,1
Portland Trail Blazers,Philadelphia 76ers,1
Portland Trail Blazers,Phoenix Suns,3
Portland Trail Blazers,Sacramento Kings,2
Portland Trail Blazers,San Antonio Spurs,2
Portland Trail Blazers,Toronto Raptors,0
Portland Trail Blazers,Utah Jazz,2
Portland Trail Blazers,Washington Wizards,0
Sacramento Kings,Atlanta Hawks,1
Sacramento Kings,Boston Celtics,1
Sacramento Kings,Brooklyn Nets,1
Sacramento Kings,Charlotte Hornets,1
Sacramento Kings,Chicago Bulls,0
Sacramento Kings,Cleveland Cavaliers,1
Sacramento Kings,Dallas Mavericks,2
Sacramento Kings,Denver Nuggets,2
Sacramento Kings,Detroit Pistons,2
Sacramento Kings,Golden State Warriors,1
Sacramento Kings,Houston Rockets,0
Sacramento Kings,Indiana Pacers,0
Sacramento Kings,Los Angeles Clippers,1
Sacramento Kings,Los Angeles Lakers,2
Sacramento Kings,Memphis Grizzlies,2
Sacramento Kings,Miami Heat,0
Sacramento Kings,Milwaukee Bucks,0
Sacramento Kings,Minnesota Timberwolves,3
Sacramento Kings,New Orleans Pelicans,2
Sacramento Kings,New York Knicks,0
Sacramento Kings,Oklahoma City Thunder,1
Sacramento Kings,Orlando Magic,1
Sacramento Kings,Philadelphia 76ers,1
Sacramento Kings,Phoenix Suns,3
Sacramento Kings,Portland Trail Blazers,1
Sacramento Kings,San Antonio Spurs,0
Sacramento Kings,Toronto Raptors,2
Sacramento Kings,Utah Jazz,1
Sacramento Kings,Washington Wizards,0
San Antonio Spurs,Atlanta Hawks,1
San Antonio Spurs,Boston Celtics,2
San Antonio Spurs,Brooklyn Nets,2
San Antonio Spurs,Charlotte Hornets,2
San Antonio Spurs,Chicago Bulls,1
San Antonio Spurs,Cleveland Cavaliers,2
San Antonio Spurs,Dallas Mavericks,3
San Antonio Spurs,Denver Nuggets,3
San Antonio Spurs,Detroit Pistons,2
San Antonio Spurs,Golden State Warriors,2
San Antonio Spurs,Houston Rockets,3
San Antonio Spurs,Indiana Pacers,2
San Antonio Spurs,Los Angeles Clippers,1
San Antonio Spurs,Los Angeles Lakers,3
San Antonio Spurs,Memphis Grizzlies,2
San Antonio Spurs,Miami Heat,2
San Antonio Spurs,Milwaukee Bucks,1
San Antonio Spurs,Minnesota Timberwolves,4
San Antonio Spurs,New Orleans Pelicans,3
San Antonio Spurs,New York Knicks,1
San Antonio Spurs,Oklahoma City Thunder,2
San Antonio Spurs,Orlando Magic,1
San Antonio Spurs,Philadelphia 76ers,2
San Antonio Spurs,Phoenix Suns,2
San Antonio Spurs,Portland Trail Blazers,2
San Antonio Spurs,Sacramento Kings,4
San Antonio Spurs,Toronto Raptors,2
San Antonio Spurs,Utah Jazz,2
San Antonio Spurs,Washington Wizards,2
Toronto Raptors,Atlanta Hawks,1
Toronto Raptors,Boston Celtics,3
Toronto Raptors,Brooklyn Nets,4
Toronto Raptors,Charlotte Hornets,2
Toronto Raptors,Chicago Bulls,1
Toronto Raptors,Cleveland Cavaliers,1
Toronto Raptors,Dallas Mavericks,2
Toronto Raptors,Denver Nuggets,2
Toronto Raptors,Detroit Pistons,3
Toronto Raptors,Golden State Warriors,0
Toronto Raptors,Houston Rockets,1
Toronto Raptors,Indiana Pacers,2
Toronto Raptors,Los Angeles Clippers,1
Toronto Raptors,Los Angeles Lakers,2
Toronto Raptors,Memphis Grizzlies,1
Toronto Raptors,Miami Heat,3
Toronto Raptors,Milwaukee Bucks,3
Toronto Raptors,Minnesota Timberwolves,1
Toronto Raptors,New Orleans Pelicans,2
Toronto Raptors,New York Knicks,4
Toronto Raptors,Oklahoma City Thunder,1
Toronto Raptors,Orlando Magic,2
Toronto Raptors,Philadelphia 76ers,3
Toronto Raptors,Phoenix Suns,0
Toronto Raptors,Portland Trail Blazers,2
Toronto Raptors,Sacramento Kings,0
Toronto Raptors,San Antonio Spurs,0
Toronto Raptors,Utah Jazz,2
Toronto Raptors,Washington Wizards,2
Utah Jazz,Atlanta Hawks,2
Utah Jazz,Boston Celtics,0
Utah Jazz,Brooklyn Nets,2
Utah Jazz,Charlotte Hornets,1
Utah Jazz,Chicago Bulls,0
Utah Jazz,Cleveland Cavaliers,1
Utah Jazz,Dallas Mavericks,3
Utah Jazz,Denver Nuggets,2
Utah Jazz,Detroit Pistons,2
Utah Jazz,Golden State Warriors,1
Utah Jazz,Houston Rockets,2
Utah Jazz,Indiana Pacers,1
Utah Jazz,Los Angeles Clippers,1
Utah Jazz,Los Angeles Lakers,4
Utah Jazz,Memphis Grizzlies,1
Utah Jazz,Miami Heat,1
Utah Jazz,Milwaukee Bucks,2
Utah Jazz,Minnesota Timberwolves,3
Utah Jazz,New Orleans Pelicans,3
Utah Jazz,New York Knicks,2
Utah Jazz,Oklahoma City Thunder,1
Utah Jazz,Orlando Magic,2
Utah Jazz,Philadelphia 76ers,2
Utah Jazz,Phoenix Suns,3
Utah Jazz,Portland Trail Blazers,2
Utah Jazz,Sacramento Kings,3
Utah Jazz,San Antonio Spurs,2
Utah Jazz,Toronto Raptors,0
Utah Jazz,Washington Wizards,2
Washington Wizards,Atlanta Hawks,3
Washington Wizards,Boston Celtics,2
Washington Wizards,Brooklyn Nets,4
Washington Wizards,Charlotte Hornets,3
Washington Wizards,Chicago Bulls,3
Washington Wizards,Cleveland Cavaliers,1
Washington Wizards,Dallas Mavericks,0
Washington Wizards,Denver Nuggets,2
Washington Wizards,Detroit Pistons,2
Washington Wizards,Golden State Warriors,1
Washington Wizards,Houston Rockets,0
Washington Wizards,Indiana Pacers,3
Washington Wizards,Los Angeles Clippers,1
Washington Wizards,Los Angeles Lakers,2
Washington Wizards,Memphis Grizzlies,1
Washington Wizards,Miami Heat,0
Washington Wizards,Milwaukee Bucks,3
Washington Wizards,Minnesota Timberwolves,1
Washington Wizards,New Orleans Pelicans,2
Washington Wizards,New York Knicks,4
Washington Wizards,Oklahoma City Thunder,1
Washington Wizards,Orlando Magic,2
Washington Wizards,Philadelphia 76ers,1
Washington Wizards,Phoenix Suns,2
Washington Wizards,Portland Trail Blazers,2
Washington Wizards,Sacramento Kings,2
Washington Wizards,San Antonio Spurs,0
Washington Wizards,Toronto Raptors,1
Washington Wizards,Utah Jazz,0
