Team 1,Team 2,Wins
Chicago Bulls,Minnesota Timberwolves,0
Chicago Bulls,New Orleans Pelicans,2
Chicago Bulls,New York Knicks,0
Chicago Bulls,Oklahoma City Thunder,1
Chicago Bulls,Orlando Magic,3
Chicago Bulls,Philadelphia 76ers,3
Chicago Bulls,Phoenix Suns,1
Chicago Bulls,Portland Trail Blazers,1
Chicago Bulls,Sacramento Kings,2
Chicago Bulls,San Antonio Spurs,1
Chicago Bulls,Toronto Raptors,2
Chicago Bulls,Utah Jazz,2
Chicago Bulls,Washington Wizards,1
Cleveland Cavaliers,Atlanta Hawks,1
Cleveland Cavaliers,Boston Celtics,3
Cleveland Cavaliers,Brooklyn Nets,3
Cleveland Cavaliers,Charlotte Hornets,4
Cleveland Cavaliers,Chicago Bulls,0
Cleveland Cavaliers,Dallas Mavericks,1
Cleveland Cavaliers,Denver Nuggets,1
Cleveland Cavaliers,Detroit Pistons,2
Cleveland Cavaliers,Golden State Warriors,1
Cleveland Cavaliers,Houston Rockets,1
Cleveland Cavaliers,Indiana Pacers,3
Cleveland Cavaliers,Los Angeles Clippers,0
Cleveland Cavaliers,Los Angeles Lakers,2
Cleveland Cavaliers,Memphis Grizzlies,1
Cleveland Cavaliers,Miami Heat,1
Cleveland Cavaliers,Milwaukee Bucks,3
Cleveland Cavaliers,Minnesota Timberwolves,2
Cleveland Cavaliers,New Orleans Pelicans,1
Cleveland Cavaliers,New York Knicks,4
Cleveland Cavaliers,Oklahoma City Thunder,1
Cleveland Cavaliers,Orlando Magic,3
Cleveland Cavaliers,Philadelphia 76ers,3
Cleveland Cavaliers,Phoenix Suns,2
Cleveland Cavaliers,Portland Trail Blazers,1
Cleveland Cavaliers,Sacramento Kings,1
Cleveland Cavaliers,San Antonio Spurs,0
Cleveland Cavaliers,Toronto Raptors,3
Cleveland Cavaliers,Utah Jazz,1
Cleveland Cavaliers,Washington Wizards,2
Dallas Mavericks,Atlanta Hawks,0
Dallas Mavericks,Boston Celtics,0
Dallas Mavericks,Brooklyn Nets,2
Dallas Mavericks,Charlotte Hornets,0
Dallas Mavericks,Chicago Bulls,2
Dallas Mavericks,Cleveland Cavaliers,1
Dallas Mavericks,Denver Nuggets,1
Dallas Mavericks,Detroit Pistons,0
Dallas Mavericks,Golden State Warriors,0
Dallas Mavericks,Houston Rockets,0
Dallas Mavericks,Indiana Pacers,1
Dallas Mavericks,Los Angeles Clippers,2
Dallas Mavericks,Los Angeles Lakers,4
Dallas Mavericks,Memphis Grizzlies,2
Dallas Mavericks,Miami Heat,1
Dallas Mavericks,Milwaukee Bucks,2
Dallas Mavericks,Minnesota Timberwolves,1
Dallas Mavericks,New Orleans Pelicans,2
Dallas Mavericks,New York Knicks,1
Dallas Mavericks,Oklahoma City Thunder,1
Dallas Mavericks,Orlando Magic,1
Dallas Mavericks,Philadelphia 76ers,1
Dallas Mavericks,Phoenix Suns,1
Dallas Mavericks,Portland Trail Blazers,2
Dallas Mavericks,Sacramento Kings,1
Dallas Mavericks,San Antonio Spurs,1
Dallas Mavericks,Toronto Raptors,0
Dallas Mavericks,Utah Jazz,1
Dallas Mavericks,Washington Wizards,2
Denver Nuggets,Atlanta Hawks,0
Denver Nuggets,Boston Celtics,2
Denver Nuggets,Brooklyn Nets,1
Denver Nuggets,Charlotte Hornets,0
Denver Nuggets,Chicago Bulls,2
Denver Nuggets,Cleveland Cavaliers,1
Denver Nuggets,Dallas Mavericks,3
Denver Nuggets,Detroit Pistons,0
Denver Nuggets,Golden State Warriors,1
Denver Nuggets,Houston Rockets,0
Denver Nuggets,Indiana Pacers,2
Denver Nuggets,Los Angeles Clippers,3
Denver Nuggets,Los Angeles Lakers,2
Denver Nuggets,Memphis Grizzlies,0
Denver Nuggets,Miami Heat,1
Denver Nuggets,Milwaukee Bucks,2
Denver Nuggets,Minnesota Timberwolves,2
Denver Nuggets,New Orleans Pelicans,3
Denver Nuggets,New York Knicks,2
Denver Nuggets,Oklahoma City Thunder,1
Denver Nuggets,Orlando Magic,2
Denver Nuggets,Philadelphia 76ers,1
Denver Nuggets,Phoenix Suns,4
Denver Nuggets,Portland Trail Blazers,1
Denver Nuggets,Sacramento Kings,2
Denver Nuggets,San Antonio Spurs,0
Denver Nuggets,Toronto Raptors,0
Denver Nuggets,Utah Jazz,2
Denver Nuggets,Washington Wizards,0
Detroit Pistons,Atlanta Hawks,2
Detroit Pistons,Boston Celtics,1
Detroit Pistons,Brooklyn Nets,1
Detroit Pistons,Charlotte Hornets,3
Detroit Pistons,Chicago Bulls,2
Detroit Pistons,Cleveland Cavaliers,2
Detroit Pistons,Dallas Mavericks,2
Detroit Pistons,Denver Nuggets,2
Detroit Pistons,Golden State Warriors,0
Detroit Pistons,Houston Rockets,1
Detroit Pistons,Indiana Pacers,0
Detroit Pistons,Los Angeles Clippers,1
Detroit Pistons,Los Angeles Lakers,2
Detroit Pistons,Memphis Grizzlies,1
Detroit Pistons,Miami Heat,2
Detroit Pistons,Milwaukee Bucks,1
Detroit Pistons,Minnesota Timberwolves,2
Detroit Pistons,New Orleans Pelicans,1
Detroit Pistons,New York Knicks,2
Detroit Pistons,Oklahoma City Thunder,1
Detroit Pistons,Orlando Magic,1
Detroit Pistons,Philadelphia 76ers,2
Detroit Pistons,Phoenix Suns,1
Detroit Pistons,Portland Trail Blazers,2
Detroit Pistons,Sacramento Kings,0
Detroit Pistons,San Antonio Spurs,0
Detroit Pistons,Toronto Raptors,1
Detroit Pistons,Utah Jazz,0
Detroit Pistons,Washington Wizards,1
Golden State Warriors,Atlanta Hawks,2
Golden State Warriors,Boston Celtics,1
Golden State Warriors,Brooklyn Nets,2
Golden State Warriors,Charlotte Hornets,2
Golden State Warriors,Chicago Bulls,1
Golden State Warriors,Cleveland Cavaliers,1
Golden State Warriors,Dallas Mavericks,3
Golden State Warriors,Denver Nuggets,2
Golden State Warriors,Detroit Pistons,2
Golden State Warriors,Houston Rockets,3
Golden State Warriors,Indiana Pacers,2
Golden State Warriors,Los Angeles Clippers,4
Golden State Warriors,Los Angeles Lakers,3
Golden State Warriors,Memphis Grizzlies,2
Golden State Warriors,Miami Heat,1
Golden State Warriors,Milwaukee Bucks,2
Golden State Warriors,Minnesota Timberwolves,3
Golden State Warriors,New Orleans Pelicans,4
Golden State Warriors,New York Knicks,2
Golden State Warriors,Oklahoma City Thunder,4
Golden State Warriors,Orlando Magic,2
Golden State Warriors,Philadelphia 76ers,2
Golden State Warriors,Phoenix Suns,4
Golden State Warriors,Portland Trail Blazers,4
Golden State Warriors,Sacramento Kings,3
Golden State Warriors,San Antonio Spurs,1
Golden State Warriors,Toronto Raptors,2
Golden State Warriors,Utah Jazz,2
Golden State Warriors,Washington Wizards,1
Houston Rockets,Atlanta Hawks,0
Houston Rockets,Boston Celtics,1
Houston Rockets,Brooklyn Nets,2
Houston Rockets,Charlotte Hornets,2
Houston Rockets,Chicago Bulls,2
Houston Rockets,Cleveland Cavaliers,1
Houston Rockets,Dallas Mavericks,4
Houston Rockets,Denver Nuggets,4
Houston Rockets,Detroit Pistons,1
Houston Rockets,Golden State Warriors,1
Houston Rockets,Indiana Pacers,0
Houston Rockets,Los Angeles Clippers,2
Houston Rockets,Los Angeles Lakers,2
Houston Rockets,Memphis Grizzlies,2
Houston Rockets,Miami Heat,0
Houston Rockets,Milwaukee Bucks,1
Houston Rockets,Minnesota Timberwolves,3
Houston Rockets,New Orleans Pelicans,3
Houston Rockets,New York Knicks,2
Houston Rockets,Oklahoma City Thunder,3
Houston Rockets,Orlando Magic,2
Houston Rockets,Philadelphia 76ers,2
Houston Rockets,Phoenix Suns,4
Houston Rockets,Portland Trail Blazers,2
Houston Rockets,Sacramento Kings,4
Houston Rockets,San Antonio Spurs,1
Houston Rockets,Toronto Raptors,1
Houston Rockets,Utah Jazz,1
Houston Rockets,Washington Wizards,2
Indiana Pacers,Atlanta Hawks,2
Indiana Pacers,Boston Celtics,0
Indiana Pacers,Brooklyn Nets,3
Indiana Pacers,Charlotte Hornets,2
Indiana Pacers,Chicago Bulls,2
Indiana Pacers,Cleveland Cavaliers,1
Indiana Pacers,Dallas Mavericks,1
Indiana Pacers,Denver Nuggets,0
Indiana Pacers,Detroit Pistons,4
Indiana Pacers,Golden State Warriors,0
Indiana Pacers,Houston Rockets,2
Indiana Pacers,Los Angeles Clippers,2
Indiana Pacers,Los Angeles Lakers,1
Indiana Pacers,Memphis Grizzlies,1
Indiana Pacers,Miami Heat,1
Indiana Pacers,Milwaukee Bucks,1
Indiana Pacers,Minnesota Timberwolves,1
Indiana Pacers,New Orleans Pelicans,1
Indiana Pacers,New York Knicks,1
Indiana Pacers,Oklahoma City Thunder,2
Indiana Pacers,Orlando Magic,4
Indiana Pacers,Philadelphia 76ers,3
Indiana Pacers,Phoenix Suns,1
Indiana Pacers,Portland Trail Blazers,1
Indiana Pacers,Sacramento Kings,2
Indiana Pacers,San Antonio Spurs,0
Indiana Pacers,Toronto Raptors,1
Indiana Pacers,Utah Jazz,1
Indiana Pacers,Washington Wizards,1
Los Angeles Clippers,Atlanta Hawks,2
Los Angeles Clippers,Boston Celtics,1
Los Angeles Clippers,Brooklyn Nets,1
Los Angeles Clippers,Charlotte Hornets,2
Los Angeles Clippers,Chicago Bulls,2
Los Angeles Clippers,Cleveland Cavaliers,2
Los Angeles Clippers,Dallas Mavericks,2
Los Angeles Clippers,Denver Nuggets,1
Los Angeles Clippers,Detroit Pistons,1
Los Angeles Clippers,Golden State Warriors,0
Los Angeles Clippers,Houston Rockets,1
Los Angeles Clippers,Indiana Pacers,0
Los Angeles Clippers,Los Angeles Lakers,3
Los Angeles Clippers,Memphis Grizzlies,3
Los Angeles Clippers,Miami Heat,2
Los Angeles Clippers,Milwaukee Bucks,0
Los Angeles Clippers,Minnesota Timberwolves,1
Los Angeles Clippers,New Orleans Pelicans,2
Los Angeles Clippers,New York Knicks,2
Los Angeles Clippers,Oklahoma City Thunder,2
Los Angeles Clippers,Orlando Magic,2
Los Angeles Clippers,Philadelphia 76ers,1
Los Angeles Clippers,Phoenix Suns,4
Los Angeles Clippers,Portland Trail Blazers,3
Los Angeles Clippers,Sacramento Kings,3
Los Angeles Clippers,San Antonio Spurs,3
Los Angeles Clippers,Toronto Raptors,1
Los Angeles Clippers,Utah Jazz,3
Los Angeles Clippers,Washington Wizards,1
Los Angeles Lakers,Atlanta Hawks,2
Los Angeles Lakers,Boston Celtics,0
Los Angeles Lakers,Brooklyn Nets,1
Los Angeles Lakers,Charlotte Hornets,0
Los Angeles Lakers,Chicago Bulls,1
Los Angeles Lakers,Cleveland Cavaliers,0
Los Angeles Lakers,Dallas Mavericks,0
Los Angeles Lakers,Denver Nuggets,1
Los Angeles Lakers,Detroit Pistons,0
Los Angeles Lakers,Golden State Warriors,1
Los Angeles Lakers,Houston Rockets,1
Los Angeles Lakers,Indiana Pacers,1
Los Angeles Lakers,Los Angeles Clippers,1
Los Angeles Lakers,Memphis Grizzlies,2
Los Angeles Lakers,Miami Heat,1
Los Angeles Lakers,Milwaukee Bucks,1
Los Angeles Lakers,Minnesota Timberwolves,2
Los Angeles Lakers,New Orleans Pelicans,2
Los Angeles Lakers,New York Knicks,1
Los Angeles Lakers,Oklahoma City Thunder,1
Los Angeles Lakers,Orlando Magic,1
Los Angeles Lakers,Philadelphia 76ers,1
Los Angeles Lakers,Phoenix Suns,2
Los Angeles Lakers,Portland Trail Blazers,0
Los Angeles Lakers,Sacramento Kings,2
Los Angeles Lakers,San Antonio Spurs,1
Los Angeles Lakers,Toronto Raptors,0
Los Angeles Lakers,Utah Jazz,0
Los Angeles Lakers,Washington Wizards,0
Memphis Grizzlies,Atlanta Hawks,1
Memphis Grizzlies,Boston Celtics,0
Memphis Grizzlies,Brooklyn Nets,1
Memphis Grizzlies,Charlotte Hornets,1
Memphis Grizzlies,Chicago Bulls,1
Memphis Grizzlies,Cleveland Cavaliers,1
Memphis Grizzlies,Dallas Mavericks,2
Memphis Grizzlies,Denver Nuggets,3
Memphis Grizzlies,Detroit Pistons,1
Memphis Grizzlies,Golden State Warriors,2
Memphis Grizzlies,Houston Rockets,2
Memphis Grizzlies,Indiana Pacers,1
Memphis Grizzlies,Los Angeles Clippers,1
Memphis Grizzlies,Los Angeles Lakers,1
Memphis Grizzlies,Miami Heat,1
Memphis Grizzlies,Milwaukee Bucks,1
Memphis Grizzlies,Minnesota Timberwolves,3
Memphis Grizzlies,New Orleans Pelicans,2
Memphis Grizzlies,New York Knicks,1
Memphis Grizzlies,Oklahoma City Thunder,1
Memphis Grizzlies,Orlando Magic,1
Memphis Grizzlies,Philadelphia 76ers,2
Memphis Grizzlies,Phoenix Suns,3
Memphis Grizzlies,Portland Trail Blazers,1
Memphis Grizzlies,Sacramento Kings,2
Memphis Grizzlies,San Antonio Spurs,2
Memphis Grizzlies,Toronto Raptors,1
Memphis Grizzlies,Utah Jazz,3
Memphis Grizzlies,Washington Wizards,1
Miami Heat,Atlanta Hawks,2
Miami Heat,Boston Celtics,0
Miami Heat,Brooklyn Nets,3
Miami Heat,Charlotte Hornets,2
Miami Heat,Chicago Bulls,1
Miami Heat,Cleveland Cavaliers,3
Miami Heat,Dallas Mavericks,1
Miami Heat,Denver Nuggets,1
Miami Heat,Detroit Pistons,2
Miami Heat,Golden State Warriors,1
Miami Heat,Houston Rockets,2
Miami Heat,Indiana Pacers,2
Miami Heat,Los Angeles Clippers,0
Miami Heat,Los Angeles Lakers,1
Miami Heat,Memphis Grizzlies,1
Miami Heat,Milwaukee Bucks,3
